operon_no.	start_gene	last_gene	start_position	last_position	strand	in_operon	P1	P2	P3	P4	TSS type	number of TSS	internal 	flag	non-coding	RNA
1188	CCNA_02092	CCNA_02092	2240744	2240106	-	n	x	x	x	x	NO	0	n	simple	0	x
1186	CCNA_02089	CCNA_02089	2238341	2237967	-	n	x	x	x	x	NO	0	n	simple	0	x
1183	CCNA_02087	CCNA_02083	2237541	2232870	-	y	2237616	x	x	x	TRUE	1	y	complex	0	x
1182	CCNA_02082	CCNA_02082	2232736	2232512	-	n	2232784	2232757	x	x	TRUE	multiple	n	complex	0	x
1181	CCNA_02081	CCNA_02080	2232427	2230926	-	y	x	x	x	x	NO	0	n	simple	0	x
1180	CCNA_02078	CCNA_02076	2229875	2226974	-	y	2229904	x	x	x	POTENTIAL	1	n	simple	0	x
1180.1	CCNA_02075	CCNA_02075	2226881	2225052	-	n	2226927	2226901	x	x	TRUE	multiple	n	complex	0	x
1177	CCNA_02071	CCNA_02068	2222898	2219512	-	y	2222954	2222910	x	x	TRUE	multiple	y	complex	0	x
1176	CCNA_02067	CCNA_02067	2219416	2218802	-	n	2219445	x	x	x	TRUE	1	n	simple	0	x
1175	CCNA_02066	CCNA_02066	2218730	2218017	-	n	x	x	x	x	NO	0	n	simple	0	x
1173.1	CCNA_02064	CCNA_02064	2215493	2214597	-	n	2215544	x	x	x	TRUE	1	n	simple	0	x
1173.2	CCNA_02063	CCNA_02063	2214496	2213567	-	n	2214526	x	x	x	TRUE	1	y	complex	0	x
1173.3	CCNA_02062	CCNA_02062	2213484	2211778	-	n	2213484	x	x	x	TRUE	1	n	simple	0	x
1171	CCNA_02060	CCNA_02059	2210274	2208899	-	y	2210274	x	x	x	TRUE	1	n	simple	0	x
1169	CCNA_02056	CCNA_02055	2206108	2205060	-	y	2206153	x	x	x	TRUE	1	n	simple	0	x
1168	CCNA_02054	CCNA_02054	2204932	2203400	-	n	2204981	x	x	x	TRUE	1	n	simple	0	x
1164	CCNA_02049	CCNA_02049	2197255	2196860	-	n	2197361	x	x	x	POTENTIAL	1	n	simple	0	x
1161	CCNA_02045	CCNA_02043	2192279	2188693	-	y	2192341	x	x	x	POTENTIAL	1	n	simple	0	x
1160.1	CCNA_02042	CCNA_02042	2188385	2187021	-	n	2188650	2188477	x	x	TRUE	multiple	n	complex	0	x
1160.5	CCNA_02041	CCNA_02041	2186852	2186211	-	n	2186903	x	x	x	TRUE	1	n	simple	0	x
1158	CCNA_02039	CCNA_02039	2185128	2183866	-	n	2185327	2185233	2185201	x	TRUE	multiple	n	complex	0	x
1156	CCNA_02037	CCNA_02037	2183471	2181072	-	n	2183585	2183530	x	x	TRUE	multiple	n	complex	0	x
1155	CCNA_02036	CCNA_02036	2180928	2180650	-	n	2180981	x	x	x	TRUE	1	n	simple	0	x
1154	CCNA_02035	CCNA_02035	2180166	2178958	-	n	x	x	x	x	NO	0	n	simple	0	x
1153	CCNA_02033	CCNA_02012	2177472	2158098	-	y	x	x	x	x	NO	0	y	complex	0	x
1153.1	CCNA_02011	CCNA_02006	2157989	2153585	-	y	2158021	x	x	x	TRUE	1	y	complex	0	x
1150	CCNA_02004	CCNA_02003	2152463	2148907	-	y	2152484	x	x	x	TRUE	1	y	complex	0	x
1149	CCNA_02002	CCNA_02002	2148739	2148110	-	n	x	x	x	x	NO	0	n	simple	0	x
1147	CCNA_02000	CCNA_01999	2147134	2145250	-	y	2147259	x	x	x	TRUE	1	n	simple	0	x
1147.1	CCNA_01998	CCNA_01986	2145072	2132287	-	y	2145090	x	x	x	TRUE	1	y	complex	0	x
1146	CCNA_01985	CCNA_01984	2132201	2130172	-	y	2132225	x	x	x	TRUE	1	n	simple	0	x
1144	CCNA_03960	CCNA_01980	2127355	2124219	-	y	2127442	x	x	x	TRUE	1	y	complex	0	x
1140	CCNA_01973	CCNA_01973	2119154	2118945	-	n	2119154	x	x	x	TRUE	1	n	simple	0	x
1138	CCNA_01970	CCNA_01970	2115277	2114516	-	n	2115485	2115410	x	x	TRUE	multiple	n	complex	0	x
1137	CCNA_01969	CCNA_01969	2114394	2112556	-	n	2114421	x	x	x	TRUE	1	n	simple	0	x
1133	CCNA_01964	CCNA_01963	2107942	2106904	-	y	2107997	2107966	x	x	TRUE	multiple	n	complex	0	x
1130	CCNA_01958	CCNA_01958	2103770	2103570	-	n	2103786	x	x	x	TRUE	1	n	simple	0	x
1130.1	CCNA_01957	CCNA_01957	2103425	2102616	-	n	2103425	x	x	x	TRUE	1	n	simple	0	x
1126	CCNA_01952	CCNA_01952	2096969	2095782	-	n	2097000	x	x	x	TRUE	1	n	simple	0	x
1125	CCNA_01951	CCNA_01950	2095621	2092058	-	y	2095736	x	x	x	TRUE	1	n	simple	0	x
1121	CCNA_01945	CCNA_01945	2088006	2086909	-	n	2088024	x	x	x	TRUE	1	n	simple	0	x
1120	CCNA_01944	CCNA_01944	2086811	2086293	-	n	2086832	x	x	x	TRUE	1	n	simple	0	x
1118	CCNA_01942	CCNA_01933	2085397	2077966	-	y	2085486	x	x	x	TRUE	1	n	simple	0	x
1116	CCNA_01930	CCNA_01928	2076391	2074608	-	y	2076391	x	x	x	TRUE	1	y	complex	0	x
1113	CCNA_01925	CCNA_01924	2072426	2069785	-	y	2072478	x	x	x	TRUE	1	n	simple	0	x
1111	CCNA_01922	CCNA_01920	2068035	2063515	-	y	2068210	2068147	x	x	TRUE	multiple	y	complex	0	x
1107.1	CCNA_01917	CCNA_01917	2061114	2059987	-	n	2061153	x	x	x	TRUE	1	n	simple	0	x
1107	CCNA_01916	CCNA_01916	2059846	2058860	-	n	2059942	x	x	x	POTENTIAL	1	n	simple	0	x
1102	CCNA_01912	CCNA_01911	2056449	2055562	-	y	2056607	x	x	x	TRUE	1	n	simple	0	x
1102.1	CCNA_01910	CCNA_01910	2055426	2055307	-	n	2055457	x	x	x	TRUE	1	n	simple	0	x
1101	CCNA_01909	CCNA_01907	2055085	2052344	-	y	2055108	x	x	x	POTENTIAL	1	n	simple	0	x
1098	CCNA_01901	CCNA_01897	2044365	2040047	-	y	2044398	x	x	x	TRUE	1	n	simple	0	x
1097	CCNA_01896	CCNA_01896	2039776	2039570	-	n	x	x	x	x	NO	0	n	simple	0	x
1095	CCNA_01894	CCNA_01894	2037557	2035926	-	n	x	x	x	x	NO	0	n	simple	0	x
1093	CCNA_01891	CCNA_01891	2033601	2032774	-	n	x	x	x	x	NO	0	n	simple	0	x
1091	CCNA_01889	CCNA_01889	2030912	2029278	-	n	x	x	x	x	NO	0	n	simple	0	x
1089	CCNA_01886	CCNA_01886	2028326	2025426	-	n	x	x	x	x	NO	0	n	simple	0	x
1088	CCNA_01885	CCNA_01885	2025252	2024476	-	n	x	x	x	x	NO	0	n	simple	0	x
1086	CCNA_01878	CCNA_01878	2018377	2016779	-	n	x	x	x	x	NO	0	n	simple	0	x
1084	CCNA_01876	CCNA_01876	2015716	2014046	-	n	x	x	x	x	NO	0	y	complex	0	x
1082	CCNA_01874	CCNA_01874	2012213	2010768	-	n	x	x	x	x	NO	0	n	simple	0	x
2385	CCNA_03895	CCNA_03895	2010232	2009954	-	n	x	x	x	x	NO	0	y	complex	0	x
1080	CCNA_01870	CCNA_01870	2009934	2008780	-	n	2009972	x	x	x	TRUE	1	n	simple	0	x
1079	CCNA_01869	CCNA_01868	2008671	2005193	-	y	x	x	x	x	NO	0	y	complex	0	x
2384	CCNA_03894	CCNA_03894	2005050	2003815	-	n	2005105	x	x	x	POTENTIAL	1	n	simple	0	x
1077	CCNA_01863	CCNA_01862	1998630	1996891	-	y	1998660	x	x	x	POTENTIAL	1	n	simple	0	x
1070	CCNA_01851	CCNA_01845	1983781	1977086	-	y	1983781	x	x	x	POTENTIAL	1	n	simple	0	x
1069	CCNA_01844	CCNA_01844	1976803	1976177	-	n	1976833	x	x	x	POTENTIAL	1	n	simple	0	x
1066	CCNA_01840	CCNA_01840	1972324	1970882	-	n	1972416	x	x	x	TRUE	1	n	simple	0	x
1063	CCNA_01837	CCNA_01837	1970081	1969053	-	n	x	x	x	x	NO	0	n	simple	0	x
1061	CCNA_01835	CCNA_01834	1968214	1965009	-	y	x	x	x	x	NO	0	n	simple	0	x
1056	CCNA_01828	CCNA_01828	1955342	1954767	-	n	1955353	x	x	x	POTENTIAL	1	n	simple	0	x
1053	CCNA_01824	CCNA_01824	1950669	1950334	-	n	x	x	x	x	NO	0	n	simple	0	x
1052	CCNA_01823	CCNA_01823	1950258	1950040	-	n	x	x	x	x	NO	0	n	simple	0	x
1051	CCNA_01822	CCNA_01821	1949762	1947560	-	y	1949821	x	x	x	TRUE	1	n	simple	0	x
1048	CCNA_01812	CCNA_01811	1937604	1935926	-	y	1937604	x	x	x	POTENTIAL	1	n	simple	0	x
1046	CCNA_01808	CCNA_01807	1934419	1931701	-	y	x	x	x	x	NO	0	n	simple	0	x
1041	CCNA_01794	CCNA_01794	1921741	1920971	-	n	x	x	x	x	NO	0	y	complex	0	x
1036	CCNA_01789	CCNA_01789	1917164	1916649	-	n	1917208	x	x	x	POTENTIAL	1	n	simple	0	x
1035	CCNA_01788	CCNA_01788	1916470	1916111	-	n	x	x	x	x	NO	0	n	simple	0	x
1034	CCNA_01787	CCNA_01787	1915856	1914921	-	n	x	x	x	x	NO	0	n	simple	0	x
1032	CCNA_01785	CCNA_01784	1913097	1912227	-	y	1913220	1913211	1913157	x	TRUE	multiple	n	complex	0	x
1030	CCNA_01783	CCNA_01783	1912050	1911358	-	n	1912079	x	x	x	TRUE	1	n	simple	0	x
1029	CCNA_01782	CCNA_01781	1911152	1908544	-	y	1911152	x	x	x	POTENTIAL	1	n	simple	0	x
1028	CCNA_01780	CCNA_01780	1908453	1906954	-	n	1908453	x	x	x	POTENTIAL	1	n	simple	0	x
1027	CCNA_01779	CCNA_01779	1906798	1906529	-	n	1906818	x	x	x	TRUE	1	n	simple	0	x
1024	CCNA_01775	CCNA_01774	1901872	1900105	-	y	1901978	x	x	x	TRUE	1	n	simple	0	x
1023	CCNA_01773	CCNA_01773	1900026	1899409	-	n	1900026	x	x	x	TRUE	1	n	simple	0	x
1021	CCNA_01771	CCNA_01771	1898930	1898688	-	n	x	x	x	x	NO	0	n	simple	0	x
1019	CCNA_01769	CCNA_01768	1898175	1895834	-	y	1898215	x	x	x	POTENTIAL	1	y	complex	0	x
1017	CCNA_01766	CCNA_01766	1895228	1894443	-	n	1895262	x	x	x	TRUE	1	n	simple	0	x
1014	CCNA_01762	CCNA_01760	1891771	1887107	-	y	x	x	x	x	NO	0	y	complex	0	x
1013	CCNA_01759	CCNA_01757	1886940	1883718	-	y	1887115	x	x	x	TRUE	1	n	simple	0	x
1012	CCNA_01756	CCNA_01756	1883654	1883535	-	n	1883673	x	x	x	POTENTIAL	1	n	simple	0	x
1011	CCNA_01755	CCNA_01755	1883437	1881785	-	n	1883673	x	x	x	POTENTIAL	1	n	simple	0	x
1010	CCNA_01754	CCNA_01754	1881672	1881367	-	n	x	x	x	x	NO	0	y	complex	0	x
1006	CCNA_01745	CCNA_01745	1874042	1873509	-	n	1874081	x	x	x	POTENTIAL	1	n	simple	0	x
1005	CCNA_01744	CCNA_01744	1873437	1872325	-	n	x	x	x	x	NO	0	n	simple	0	x
1004	CCNA_01743	CCNA_01743	1872251	1871442	-	n	x	x	x	x	NO	0	n	simple	0	x
1002	CCNA_01741	CCNA_01739	1870539	1869268	-	y	1870669	x	x	x	TRUE	1	n	simple	0	x
1001	CCNA_01738	CCNA_01738	1869063	1866634	-	n	1869144	x	x	x	TRUE	1	n	simple	0	x
1000	CCNA_01737	CCNA_01737	1866424	1864901	-	n	x	x	x	x	NO	0	y	complex	0	x
998	CCNA_01735	CCNA_01728	1864189	1856420	-	y	x	x	x	x	NO	0	y	complex	0	x
997	CCNA_01727	CCNA_01727	1856234	1854729	-	n	1856264	x	x	x	TRUE	1	n	simple	0	x
933.5	CCNA_03956	CCNA_03956	1845427	1845242	-	n	1845497	x	x	x	TRUE	1	n	simple	0	x
992	CCNA_01712	CCNA_01711	1844628	1842780	-	y	1844628	x	x	x	TRUE	1	n	simple	0	x
991	CCNA_01710	CCNA_01709	1842606	1840745	-	y	x	x	x	x	NO	0	n	simple	0	x
988	CCNA_01705	CCNA_01705	1837566	1836721	-	n	1837596	x	x	x	TRUE	1	n	simple	0	x
986	CCNA_01699	CCNA_01699	1831520	1830513	-	n	x	x	x	x	NO	0	n	simple	0	x
983	CCNA_01696	CCNA_01696	1828470	1826794	-	n	x	x	x	x	NO	0	n	simple	0	x
982	CCNA_01695	CCNA_01693	1826589	1820814	-	y	x	x	x	x	NO	0	n	simple	0	x
978	CCNA_01685	CCNA_01685	1812844	1812515	-	n	1812873	x	x	x	TRUE	1	n	simple	0	x
977	CCNA_01684	CCNA_01684	1812350	1811466	-	n	1812350	x	x	x	TRUE	1	n	simple	0	x
975	CCNA_01682	CCNA_01682	1810292	1809354	-	n	1810374	1810358	x	x	TRUE	multiple	n	complex	0	x
972	CCNA_01674	CCNA_01672	1797482	1794029	-	y	1797603	1797532	x	x	TRUE	multiple	n	complex	0	x
966	CCNA_01660	CCNA_01660	1781911	1781219	-	n	1781935	x	x	x	TRUE	1	n	simple	0	x
964	CCNA_01657	CCNA_01656	1778806	1777143	-	y	x	x	x	x	NO	0	n	simple	0	x
960	CCNA_01650	CCNA_01650	1771179	1770655	-	n	1771244	x	x	x	POTENTIAL	1	n	simple	0	x
958	CCNA_01647	CCNA_01646	1768334	1766524	-	y	1768356	x	x	x	TRUE	1	n	simple	0	x
956	CCNA_01644	CCNA_01644	1765552	1764656	-	n	1765575	x	x	x	TRUE	1	y	complex	0	x
955	CCNA_01643	CCNA_01643	1764555	1763716	-	n	1764746	x	x	x	TRUE	1	n	simple	0	x
952	CCNA_01632	CCNA_01632	1751486	1751025	-	n	1751588	x	x	x	TRUE	1	n	simple	0	x
949	CCNA_01625	CCNA_01625	1747389	1745770	-	n	1747415	x	x	x	TRUE	1	n	simple	0	x
947	CCNA_01623	CCNA_01623	1744933	1744514	-	n	1744933	x	x	x	TRUE	1	n	simple	0	x
945	CCNA_01619	CCNA_01618	1741014	1739738	-	y	1741089	x	x	x	TRUE	1	n	simple	0	x
938	CCNA_01608	CCNA_01608	1728137	1727463	-	n	1728137	x	x	x	POTENTIAL	1	n	simple	0	x
936	CCNA_01606	CCNA_01605	1726562	1725350	-	y	x	x	x	x	NO	0	n	simple	0	x
933	CCNA_01603	CCNA_01603	1724496	1723294	-	n	1724551	x	x	x	TRUE	1	n	simple	0	x
930	CCNA_01600	CCNA_01599	1722017	1720927	-	y	x	x	x	x	NO	0	n	simple	0	x
928	CCNA_01597	CCNA_01597	1719228	1718983	-	n	1719242	x	x	x	TRUE	1	n	simple	0	x
927	CCNA_01596	CCNA_01594	1718895	1715035	-	y	1718895	x	x	x	POTENTIAL	1	n	simple	0	x
926	CCNA_01593	CCNA_01593	1714831	1713020	-	n	1714831	x	x	x	TRUE	1	n	simple	0	x
923	CCNA_01589	CCNA_01589	1709248	1708112	-	n	1709261	x	x	x	POTENTIAL	1	n	simple	0	x
921	CCNA_01585	CCNA_01585	1704437	1702356	-	n	1704510	x	x	x	TRUE	1	n	simple	0	x
920	CCNA_01584	CCNA_01584	1702070	1699686	-	n	x	x	x	x	NO	0	n	simple	0	x
919	CCNA_01583	CCNA_01583	1699561	1698521	-	n	1699611	x	x	x	TRUE	1	n	simple	0	x
913	CCNA_01577	CCNA_01576	1694450	1692309	-	y	x	x	x	x	NO	0	y	complex	0	x
912	CCNA_01575	CCNA_01575	1692194	1690968	-	n	1692425	x	x	x	TRUE	1	n	simple	0	x
910	CCNA_01573	CCNA_01571	1690118	1688684	-	y	1690118	x	x	x	POTENTIAL	1	n	simple	0	x
905	CCNA_01566	CCNA_01566	1683307	1682996	-	n	1683329	x	x	x	POTENTIAL	1	n	simple	0	x
900	CCNA_01555	CCNA_01554	1672134	1669091	-	y	1672248	x	x	x	TRUE	1	n	simple	0	x
896	CCNA_01550	CCNA_01549	1665261	1662374	-	y	1665320	x	x	x	TRUE	1	y	complex	0	x
2405	CCNA_03953	CCNA_03953	1659263	1658850	-	n	1659436	x	x	x	TRUE	1	n	simple	0	x
894	CCNA_01546	CCNA_01546	1658577	1656352	-	n	x	x	x	x	NO	0	n	simple	0	x
892	CCNA_01543	CCNA_01543	1654885	1653545	-	n	1654917	x	x	x	TRUE	1	n	simple	0	x
891	CCNA_01542	CCNA_01542	1653455	1651185	-	n	x	x	x	x	NO	0	n	simple	0	x
888	CCNA_01539	CCNA_01539	1650156	1649458	-	n	1650203	x	x	x	TRUE	1	n	simple	0	x
886	CCNA_01537	CCNA_01537	1645890	1645354	-	n	x	x	x	x	NO	0	n	simple	0	x
878	CCNA_01524	CCNA_01523	1634067	1631535	-	y	1634092	x	x	x	TRUE	1	n	simple	0	x
877	CCNA_01522	CCNA_01522	1631426	1630557	-	n	1631476	x	x	x	TRUE	1	n	simple	0	x
876	CCNA_01521	CCNA_01521	1630458	1629643	-	n	1630483	x	x	x	TRUE	1	n	simple	0	x
2291	CCNA_03892	CCNA_01516	1628183	1625780	-	y	1628204	x	x	x	TRUE	1	n	simple	0	x
870	CCNA_01509	CCNA_01509	1620214	1619099	-	n	1620275	x	x	x	TRUE	1	n	simple	0	x
869	CCNA_01508	CCNA_01506	1618991	1616805	-	y	x	x	x	x	NO	0	n	simple	0	x
868	CCNA_01505	CCNA_01504	1616739	1614298	-	y	1616878	x	x	x	POTENTIAL	1	n	simple	0	x
867	CCNA_01503	CCNA_01501	1613346	1611887	-	y	x	x	x	x	NO	0	n	simple	0	x
862	CCNA_01495	CCNA_01494	1606026	1603290	-	y	x	x	x	x	NO	0	n	simple	0	x
861	CCNA_01493	CCNA_01491	1603113	1599999	-	y	x	x	x	x	NO	0	y	complex	0	x
856	CCNA_01486	CCNA_01485	1593723	1591536	-	y	1593749	x	x	x	TRUE	1	n	simple	0	x
852	CCNA_01478	CCNA_01478	1586344	1585598	-	n	1586401	x	x	x	TRUE	1	n	simple	0	x
848	CCNA_01466	CCNA_01466	1574589	1574323	-	n	x	x	x	x	NO	0	n	simple	0	x
846	CCNA_01464	CCNA_01464	1572383	1572066	-	n	1572404	x	x	x	TRUE	1	n	simple	0	x
2403	CCNA_03951	CCNA_03951	1571955	1571872	-	n	1571956	x	x	x	TRUE	1	n	simple	0	x
845	CCNA_01463	CCNA_01463	1571776	1570667	-	n	1571956	x	x	x	TRUE	1	n	simple	0	x
844	CCNA_01462	CCNA_01462	1570469	1569294	-	n	x	x	x	x	NO	0	n	simple	0	x
833	CCNA_01444	CCNA_01443	1557607	1554869	-	y	1557673	x	x	x	TRUE	1	n	simple	0	x
831	CCNA_01439	CCNA_01439	1552631	1551231	-	n	1552655	x	x	x	POTENTIAL	1	n	simple	0	x
827	CCNA_01437	CCNA_01435	1550008	1549509	-	y	1550033	x	x	x	TRUE	1	n	simple	0	x
822	CCNA_01427	CCNA_01427	1544940	1544458	-	n	1545017	1544959	x	x	TRUE	multiple	n	complex	0	x
821	CCNA_01426	CCNA_01426	1544192	1543638	-	n	1544242	1544231	x	x	TRUE	multiple	n	complex	0	x
817	CCNA_01418	CCNA_01418	1536558	1536112	-	n	1536615	x	x	x	TRUE	1	n	simple	0	x
2401	CCNA_03949	CCNA_03949	1529711	1529253	-	n	1529754	x	x	x	TRUE	1	n	simple	0	x
813	CCNA_01410	CCNA_01408	1529118	1526164	-	y	x	x	x	x	NO	0	n	simple	0	x
811	CCNA_01406	CCNA_01406	1525478	1524621	-	n	1525525	x	x	x	TRUE	1	n	simple	0	x
810	CCNA_01405	CCNA_01405	1524403	1524077	-	n	1524403	x	x	x	TRUE	1	n	simple	0	x
807	CCNA_01400	CCNA_01399	1520453	1518556	-	y	1520573	x	x	x	TRUE	1	n	simple	0	x
805	CCNA_01394	CCNA_01393	1513286	1510803	-	y	1513286	x	x	x	TRUE	1	y	complex	0	x
800	CCNA_01386	CCNA_01386	1503747	1503106	-	n	1503810	x	x	x	TRUE	1	y	complex	0	x
798	CCNA_01384	CCNA_01384	1502186	1500699	-	n	x	x	x	x	NO	0	n	simple	0	x
793	CCNA_01377	CCNA_01377	1492239	1492093	-	n	1492300	x	x	x	TRUE	1	n	simple	0	x
791	CCNA_01372	CCNA_01372	1487439	1486831	-	n	1487505	x	x	x	TRUE	1	y	complex	0	x
790	CCNA_01371	CCNA_01371	1486729	1486421	-	n	1487013	1486803	x	x	TRUE	multiple	n	complex	0	x
787	CCNA_01366	CCNA_01366	1482244	1482020	-	n	1482244	x	x	x	POTENTIAL	1	n	simple	0	x
786	CCNA_01365	CCNA_01365	1481714	1481196	-	n	1481752	x	x	x	TRUE	1	n	simple	0	x
781	CCNA_01354	CCNA_01354	1469198	1468212	-	n	x	x	x	x	NO	0	n	simple	0	x
779	CCNA_01353	CCNA_01351	1467880	1463228	-	y	1467916	x	x	x	POTENTIAL	1	y	complex	0	x
769	CCNA_01335	CCNA_01334	1448638	1446891	-	y	1448674	x	x	x	POTENTIAL	1	n	simple	0	x
768	CCNA_01333	CCNA_01333	1446724	1446332	-	n	x	x	x	x	NO	0	n	simple	0	x
760	CCNA_01297	CCNA_01297	1422990	1422154	-	n	1423037	x	x	x	TRUE	1	n	simple	0	x
759	CCNA_01296	CCNA_01296	1422046	1420118	-	n	1422126	1422101	x	x	TRUE	multiple	n	complex	0	x
758	CCNA_01295	CCNA_01295	1419994	1419254	-	n	1419994	x	x	x	TRUE	1	n	simple	0	x
756	CCNA_01293	CCNA_01293	1418772	1418341	-	n	x	x	x	x	NO	0	n	simple	0	x
754	CCNA_01289	CCNA_01289	1415635	1415258	-	n	1415667	x	x	x	TRUE	1	n	simple	0	x
752	CCNA_01287	CCNA_01287	1413933	1412941	-	n	1413966	x	x	x	TRUE	1	n	simple	0	x
750	CCNA_01285	CCNA_01285	1412590	1411601	-	n	1412590	x	x	x	TRUE	1	n	simple	0	x
747	CCNA_01280	CCNA_01278	1406898	1404393	-	y	1406957	x	x	x	TRUE	1	y	complex	0	x
745	CCNA_01274	CCNA_01274	1401608	1400085	-	n	1401608	x	x	x	POTENTIAL	1	n	simple	0	x
2325	CCNA_01273	CCNA_01272	1399908	1399011	-	y	1399963	x	x	x	POTENTIAL	1	n	simple	0	x
742	CCNA_01268	CCNA_01268	1397271	1396765	-	n	1397407	1397324	x	x	TRUE	multiple	n	complex	0	x
741	CCNA_01267	CCNA_01266	1396687	1395597	-	y	x	x	x	x	NO	0	y	complex	0	x
739	CCNA_01265	CCNA_01265	1395498	1395376	-	n	1395760	x	x	x	TRUE	1	n	simple	0	x
738	CCNA_01264	CCNA_01264	1395261	1394767	-	n	x	x	x	x	NO	0	n	simple	0	x
734	CCNA_01258	CCNA_01256	1386171	1383564	-	y	1386195	x	x	x	TRUE	1	n	simple	0	x
733	CCNA_01255	CCNA_01255	1383126	1382977	-	n	x	x	x	x	NO	0	n	simple	0	x
731	CCNA_01252	CCNA_01252	1381280	1379181	-	n	1381514	1381461	1381335	x	TRUE	multiple	y	complex	0	x
729	CCNA_01247	CCNA_01245	1375792	1372630	-	y	1375823	x	x	x	TRUE	1	n	simple	0	x
728	CCNA_01244	CCNA_01244	1372320	1371913	-	n	1372338	x	x	x	TRUE	1	n	simple	0	x
726	CCNA_01242	CCNA_01238	1369202	1363636	-	y	1369250	x	x	x	TRUE	1	y	complex	0	x
724	CCNA_01237	CCNA_01236	1363481	1363099	-	y	x	x	x	x	NO	0	n	simple	0	x
721	CCNA_01233	CCNA_01232	1361161	1359759	-	y	1361183	x	x	x	TRUE	1	y	complex	0	x
719	CCNA_01229	CCNA_01229	1357023	1355671	-	n	1357023	x	x	x	POTENTIAL	1	n	simple	0	x
717	CCNA_01226	CCNA_01222	1353818	1348063	-	y	1353820	x	x	x	POTENTIAL	1	y	complex	0	x
717.1	CCNA_01221	CCNA_01220	1347995	1346517	-	y	1348168	1348142	x	x	TRUE	multiple	n	complex	0	x
714	CCNA_01216	CCNA_01216	1343455	1342538	-	n	x	x	x	x	NO	0	n	simple	0	x
713	CCNA_01215	CCNA_01211	1342432	1337787	-	y	1342464	x	x	x	TRUE	1	n	simple	0	x
710	CCNA_01204	CCNA_01204	1331838	1330891	-	n	x	x	x	x	NO	0	n	simple	0	x
709	CCNA_01203	CCNA_01203	1330816	1328834	-	n	1330816	x	x	x	TRUE	1	n	simple	0	x
708	CCNA_01202	CCNA_01201	1328746	1325802	-	y	1328779	x	x	x	TRUE	1	n	simple	0	x
707	CCNA_01200	CCNA_01200	1325734	1323479	-	n	x	x	x	x	NO	0	n	simple	0	x
705	CCNA_01197	CCNA_01197	1321470	1321300	-	n	x	x	x	x	NO	0	n	simple	0	x
703	CCNA_01195	CCNA_01195	1319129	1318104	-	n	1319129	x	x	x	POTENTIAL	1	n	simple	0	x
702	CCNA_01194	CCNA_01194	1317953	1315500	-	n	1318029	x	x	x	POTENTIAL	1	y	complex	0	x
701	CCNA_01193	CCNA_01191	1315289	1311323	-	y	x	x	x	x	NO	0	n	simple	0	x
696	CCNA_01185	CCNA_01185	1304443	1304093	-	n	1304706	1304483	x	x	POTENTIAL	multiple	n	simple	0	x
694	CCNA_01181	CCNA_01181	1301802	1301278	-	n	1301835	x	x	x	POTENTIAL	1	n	simple	0	x
693	CCNA_01180	CCNA_01180	1301185	1299008	-	n	x	x	x	x	NO	0	n	simple	0	x
689	CCNA_01174	CCNA_01173	1294526	1293181	-	y	1294635	1294552	x	x	TRUE	multiple	y	complex	0	x
686	CCNA_01170	CCNA_01169	1291355	1287879	-	y	x	x	x	x	NO	0	n	simple	0	x
685	CCNA_01168	CCNA_01166	1287783	1284624	-	y	x	x	x	x	NO	0	n	simple	0	x
2383	CCNA_03891	CCNA_03891	1254639	1254289	-	n	1254668	x	x	x	POTENTIAL	1	n	simple	0	x
673	CCNA_01149	CCNA_01149	1254007	1251371	-	n	x	x	x	x	NO	0	n	simple	0	x
670	CCNA_01145	CCNA_01143	1250288	1247757	-	y	x	x	x	x	NO	0	y	complex	0	x
667	CCNA_01140	CCNA_01140	1244899	1243292	-	n	1244920	x	x	x	TRUE	1	n	simple	0	x
664	CCNA_01137	CCNA_01134	1240868	1238520	-	y	1240895	x	x	x	POTENTIAL	1	n	simple	0	x
663	CCNA_01133	CCNA_01133	1238398	1237868	-	n	1238481	x	x	x	TRUE	1	n	simple	0	x
660	CCNA_01125	CCNA_01125	1231227	1230748	-	n	1231252	x	x	x	TRUE	1	n	simple	0	x
659	CCNA_01124	CCNA_01124	1230383	1229340	-	n	x	x	x	x	NO	0	n	simple	0	x
655	CCNA_01120	CCNA_01120	1224321	1224190	-	n	1224371	x	x	x	TRUE	1	n	simple	0	x
652	CCNA_01117	CCNA_01117	1223195	1222305	-	n	1223216	x	x	x	TRUE	1	n	simple	0	x
650	CCNA_01115	CCNA_01113	1220338	1218139	-	y	1220373	x	x	x	POTENTIAL	1	y	complex	0	x
647	CCNA_01108	CCNA_01108	1213511	1212651	-	n	1213560	x	x	x	TRUE	1	n	simple	0	x
645	CCNA_01104	CCNA_01103	1211112	1208972	-	y	1211133	x	x	x	POTENTIAL	1	y	complex	0	x
643	CCNA_01101	CCNA_01101	1207945	1207424	-	n	1208044	1207983	x	x	TRUE	multiple	n	complex	0	x
642	CCNA_01100	CCNA_01099	1207291	1204106	-	y	1207310	x	x	x	TRUE	1	n	simple	0	x
641	CCNA_01098	CCNA_01097	1203984	1203412	-	y	1204066	x	x	x	TRUE	1	n	simple	0	x
640	CCNA_01096	CCNA_01095	1203163	1199533	-	y	x	x	x	x	NO	0	n	simple	0	x
639	CCNA_01094	CCNA_01094	1199238	1199089	-	n	1199264	x	x	x	TRUE	1	n	simple	0	x
